Done,(1)willing to get their data added (2) KB+ never used,SubscriptionId,InstitutionName,NewJiscBand,LegacyJiscBand,Sector,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,SubscriptionStatus,Agreement Type
,,43102,University of Wales Trinity St David,,,,,19th Century British Library Newspapers (2013-2014)  (Band 7 / E),2013-08-01,2014-03-24,,,,,,
,,35106,University of Wales Trinity St David,,,,,ACLS Humanities E-Book 2011-2014 (Band 7 / E),2011-08-01,2014-07-31,,,,,,
,,42238,University of Wales Trinity St David,,,,,"Brill Journal Archive Online Parts 1, 1a and 2  (JOBA1 & 2) - Vol 1 to 2009 - June 2013 to December 2018 (Band 7 / E)",2013-05-29,2018-12-31,,,,,,
,,35458,University of Wales Trinity St David,,,,,Digimap Ordnance Survey Collection®  2011-2016 (Band 7 / E),2011-08-01,2016-07-31,,,,,,
,,40914,University of Wales Trinity St David,,,,,Literature Online  2013 - 2015 (Band 7 / E),2013-01-01,2015-12-31,,,,,,
,,32249,University of Wales Trinity St David,,,,,Geology Digimap: 2010-2016 Agreement (Band 9 / H),2010-09-03,2016-07-31,,,,,,
,,41822,University of Wales Trinity St David,,,,,Historic Digimap 2013-2016 agreement (Band 9 / H),2013-08-01,2016-07-31,,,,,,
,,41449,University of Wales Trinity St David,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement (Band 9 / H),2013-02-26,2018-02-06,,,,,,
,,39880,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences I Collection 2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39881,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences II Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39882,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences III Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39883,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences IV Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39884,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences V Collection 2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39885,University of Wales Trinity St David,,,,,JSTOR - Arts & Sciences VII Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39886,University of Wales Trinity St David,,,,,JSTOR - Business II Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,39887,University of Wales Trinity St David,,,,,JSTOR - Life Sciences Collection-2012 renewal (Band 9 / H),2012-09-24,2015-07-31,,,,,,
,,32575,University of Wales Trinity St David,,,,,Marine Digimap (Band 9 / H),2010-10-05,2016-07-31,,,,,,
,,40597,University of Wales Trinity St David,,,,,SAGE NESLi2 2013-14 Offer (Band 9 / H),2012-11-13,2014-12-31,,,,,,
,,37153,University of Wales: Trinity St David (SMU),,,,,Bridgeman Education (Band 7 / E),2012-02-02,2014-03-31,,,,,,
,,40764,University of Wales: Trinity St David (SMU),,,,,IOP Journal Archive 1874-1998 (Band 7 / E),2012-11-28,2014-12-31,,,,,,
,,41429,University of Wales: Trinity St David (SMU),,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement (Band 7 / E),2013-02-26,2018-02-06,,,,,,
,,40727,University of Wales: Trinity St David (SMU),,,,,Oxford Journals Archive and Archive Upgrade (2011-2014 for access via OUP's platform) (Band 7 / E),2012-11-27,2014-07-31,,,,,,
,,35952,University of Wales: Trinity St David (SMU),,,,,Digimap Ordnance Survey Collection®  2011-2016 (Band 9 / F),2011-09-26,2016-07-31,,,,,,
,,36269,University of Wales: Trinity St David (SMU),,,,,Elsevier NESLi2 2012-2016 offer (Band 9 / F),2012-01-01,2016-12-31,,,,,,
,,37959,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences I Collection 2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,37960,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences II Collection-2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,37961,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences III Collection-2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,37962,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences IV Collection-2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,37963,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences V Collection 2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,37964,University of Wales: Trinity St David (SMU),,,,,JSTOR - Arts & Sciences VII Collection-2012 renewal (Band 9 / F),2012-08-01,2015-07-31,,,,,,
,,41061,University of Wales: Trinity St David (SMU),,,,,Literature Online  2013 - 2015 (Band 9 / F),2013-01-01,2015-12-31,,,,,,
,,30092,University of Wales: Trinity St David (SMU),,,,,Web of Science Backfiles (Band 9 / F),2007-08-31,2110-08-30,,,,,,
,,44209,University of Wales; Trinity St David ,,,,,"18th and 19th and 20th Century House of Commons Parliamentary Papers 2012-2014, including British Periodicals Collections I and II and Periodicals Archive Online: Jisc Collections Selection from 2013-2014 (Band 7 / E)",2013-09-25,2014-10-31,,,,,,
,,44548,University of Wales; Trinity St David ,,,,,"Education Literature Datasets (formerly British Education Index, Australian Education Index and ERIC) 2013-2014 (Band 7 / E)",2013-10-10,2014-07-31,,,,,,
,,45703,University of Wales; Trinity St David ,,,,,Environment Digimap (2013-2014) (Band 7 / E),2014-01-07,2014-07-31,,,,,,
,,45909,University of Wales; Trinity St David ,,,,,Grove Music Online only 2013-2014 (Band 7 / E),2014-01-21,2014-08-31,,,,,,
,,44591,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences I Collection 2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44592,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences II Collection-2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44593,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences III Collection-2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44594,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences IV Collection-2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44595,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences V Collection 2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44596,University of Wales; Trinity St David ,,,,,JSTOR - Arts & Sciences VII Collection-2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,44597,University of Wales; Trinity St David ,,,,,JSTOR - Business II Collection-2012-15 renewal (Band 7 / E),2013-10-15,2015-07-31,,,,,,
,,45624,University of Wales; Trinity St David ,,,,,OUP Journals WHEEL 2014-2016 offer (Band 7 / E),2014-01-01,2016-12-31,,,,,,
,,44470,University of Wales; Trinity St David ,,,,,Oxford Dictionary of National Biography 2013-2014 (Band 7 / E),2013-10-04,2014-08-31,,,,,,
,,44471,University of Wales; Trinity St David ,,,,,Oxford Handbooks Online 2013-2014 (Band 7 / E),2013-10-04,2014-08-31,,,,,,
,,44472,University of Wales; Trinity St David ,,,,,Oxford Islamic Studies Online 2013-2014 (Band 7 / E),2013-10-04,2014-08-31,,,,,,
,,44473,University of Wales; Trinity St David ,,,,,Oxford Reference Online Premium Collection plus 2 Subject Collections (Literature and Western Civilization): for existing customers only 2013-2014 (Band 7 / E),2013-10-04,2014-08-31,,,,,,
,,44474,University of Wales; Trinity St David ,,,,,Oxford Scholarship Online 2013-2014 (Band 7 / E),2013-10-04,2014-08-31,,,,,,
,,44679,University of Wales; Trinity St David ,,,,,Project MUSE 2014 NESLi2 Agreement (Band 7 / E),2014-01-01,2014-12-31,,,,,,
,,45568,University of Wales; Trinity St David ,,,,,SAGE WHEEL 2014 Offer (Band 7 / E),2014-01-01,2014-12-31,,,,,,
,,45671,University of Wales; Trinity St David ,,,,,The Burney Collection (Band 7 / E),2014-01-07,2015-07-31,,,,,,
,,46383,Swansea University,,,,,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31,,,,,,
,,42901,Swansea University,,,,,19th Century British Library Newspapers ,2013-08-01,2014-03-24,,,,,,
,,42807,Swansea University,,,,,American Chemical Society Legacy Archives ,2013-08-01,2113-07-31,,,,,,
,,42705,Swansea University,,,,,"Brill Journal Archive Online Parts 1, 1a and 2  (JOBA1 & 2) - Vol 1 to 2009 - June 2013 to December 2018",2013-06-27,2018-12-31,,,,,,
,,45160,Swansea University,,,,,Bureau van Dijk Databases 2012-2015 Agreement ,2013-12-01,2015-11-30,,,,,,
,,45173,Swansea University,,,,,Environment Digimap (2013-2014),2013-11-28,2014-07-31,,,,,,
,,46097,Swansea University,,,,,IOP Publishing NESLi2 2014 agreement - Option 1,2014-01-29,2014-12-31,,,,,,
,,44298,Swansea University,,,,,Journal Citation Reports 2013-2016 (Annual Commitment),2013-10-01,2016-09-30,,,,,,
,,41552,Swansea University,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement,2013-03-07,2018-02-06,,,,,,
,,39828,Swansea University,,,,,JSTOR - Arts & Sciences I Collection 2012 renewal,2012-09-20,2015-07-31,,,,,,
,,45738,Swansea University,,,,,"McGraw-Hill Access Platforms for Science, Engineering, Medicine & Business",2014-01-10,2015-05-31,,,,,,
,,45627,Swansea University,,,,,OUP Journals WHEEL 2014-2016 offer,2014-01-01,2016-12-31,,,,,,
,,43569,Swansea University,,,,,Oxford Dictionary of National Biography 2013-2014,2013-09-01,2014-08-31,,,,,,
,,43570,Swansea University,,,,,Oxford English Dictionary Online 2013-2014,2013-09-01,2014-08-31,,,,,,
,,43572,Swansea University,,,,,Oxford Language Dictionaries Online 2013-2014,2013-09-01,2014-08-31,,,,,,
,,44677,Swansea University,,,,,Project MUSE 2014 NESLi2 Agreement,2014-01-01,2014-12-31,,,,,,
,,45378,Swansea University,,,,,PYMCA for Education,2013-12-12,2014-11-30,,,,,,
,,45964,Swansea University,,,,,SCOAP3 Project,2014-01-01,2016-12-31,,,,,,
,,42908,Swansea University,,,,,"Taylor & Francis Geography, Planning, Urban and Environment Online Archive",2013-07-08,2016-06-30,,,,,,
,,45585,Swansea University,,,,,The Burney Collection ,2014-01-01,2015-07-31,,,,,,
,,44220,Swansea University,,,,,Web of Science 2013-2016 (Annual Commitment),2013-10-01,2016-09-30,,,,,,
,,36408,Swansea University,,,,,Wiley Online Library NESLi2 2012-2014,2012-01-01,2014-12-31,,,,,,
,,46276,Swansea University,,,,,Knowledge Unlatched Open Access eBooks 2013 Pilot Collection,2014-03-01,2114-12-31,,,,,,
,,39849,Cardiff University,,,,,"18th and 19th and 20th Century House of Commons Parliamentary Papers 2012-2014, including British Periodicals Collections I and II and Periodicals Archive Online: JISC Collections Selection from 2013-2014",2012-11-01,2014-10-31,,,,,,
,,44967,Cardiff University,,,,,19th Century British Library Newspapers (2013-2014) ,2013-11-05,2014-03-24,,,,,,
,,38902,Cardiff University,,,,,"19th Century UK Periodicals Online, Series 1 2012-2015 Agreement",2012-08-01,2015-07-31,,,,,,
,,43170,Cardiff University,,,,,American Chemical Society Legacy Archives ,2013-08-01,2113-07-31,,,,,,
,,45613,Cardiff University,,,,,American Society of Civil Engineers NESLi2 SMP 2014 Offer,2014-01-01,2014-12-31,,,,,,
,,42314,Cardiff University,,,,,"Brill Journal Archive Online Parts 1, 1a and 2  (JOBA1 & 2) - Vol 1 to 2009 - June 2013 to December 2018",2013-06-03,2018-12-31,,,,,,
,,45060,Cardiff University,,,,,Brill NESLi2 SMP 2014 offer,2014-01-01,2014-12-31,,,,,,
,,37350,Cardiff University,,,,,British Online Archives : Twentieth Century Political History,2012-05-03,2016-12-31,,,,,,
,,34111,Cardiff University,,,,,British Standards Online,2011-06-01,2014-05-31,,,,,,
,,40209,Cardiff University,,,,,Bureau van Dijk Databases 2012-2015 Agreement ,2012-12-01,2015-11-30,,,,,,
,,32115,Cardiff University,,,,,Cambridge Journals Digital Archive,2010-08-23,2015-06-30,,,,,,
,,36954,Cardiff University,,,,,Cell Press NESLi2 2012 to 2016 offer,2012-01-01,2016-12-31,,,,,,
,,44985,Cardiff University,,,,,CUP Journals NESLi2 2014 (Cambridge University Press) offer,2014-01-01,2014-12-31,,,,,,
,,35738,Cardiff University,,,,,Digimap Ordnance Survey Collection®  2011-2016,2011-09-02,2016-07-31,,,,,,
,,45051,Cardiff University,,,,,Duke University Press NESLi2 SMP 2014 offer,2014-01-01,2014-12-31,,,,,,
,,44675,Cardiff University,,,,,Early English Books Online - Text Creation Partnership 2014-2016,2014-01-01,2016-12-31,,,,,,
,,42349,Cardiff University,,,,,"Education Literature Datasets (formerly British Education Index, Australian Education Index and ERIC) 2013-2016",2013-08-01,2014-07-31,,,,,,
,,36261,Cardiff University,,,,,Elsevier NESLi2 2012-2016 offer,2012-01-01,2016-12-31,,,,,,
,,44966,Cardiff University,,,,,Environment Digimap (2013-2014),2013-11-05,2014-07-31,,,,,,
,,27390,Cardiff University,,,,,Foreign Broadcast Information Service Daily Reports: JISC Collections Selection,2010-03-04,2014-08-31,,,,,,
,,31484,Cardiff University,,,,,Geology Digimap: 2010-2016 Agreement,2010-08-01,2016-07-31,,,,,,
,,44065,Cardiff University,,,,,Grove Art and Grove Music Online joint offer (discounted pricing) 2013-2014,2013-09-12,2014-08-31,,,,,,
,,42047,Cardiff University,,,,,Historic Digimap 2013-2016 agreement,2013-08-01,2016-07-31,,,,,,
,,44778,Cardiff University,,,,,ICE Publishing NESLi2 SMP 2014 offer,2014-01-01,2014-12-31,,,,,,
,,34485,Cardiff University,,,,,Info4education - Construction Information Service (3 Year Commitment),2011-06-01,2014-05-31,,,,,,
,,34486,Cardiff University,,,,,Info4education - Occupational Health & Safety Information Service 2011-2014 (3 Year Commitment),2011-06-01,2014-05-31,,,,,,
,,45061,Cardiff University,,,,,IOP Journal Archive 1999-2006 outright purchase,2013-11-15,2100-06-30,,,,,,
,,45260,Cardiff University,,,,,IOP Publishing NESLi2 2014 agreement - Option 2,2014-01-01,2014-12-31,,,,,,
,,44351,Cardiff University,,,,,Journal Citation Reports 2013-2016 (3 Year Commitment),2013-10-01,2016-09-30,,,,,,
,,41445,Cardiff University,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement,2013-02-26,2018-02-06,,,,,,
,,38903,Cardiff University,,,,,JSTOR - Arts & Sciences I Collection 2012 renewal,2012-08-01,2015-07-31,,,,,,
,,38904,Cardiff University,,,,,JSTOR - Arts & Sciences II Collection-2012 renewal,2012-08-01,2015-07-31,,,,,,
,,38905,Cardiff University,,,,,JSTOR - Arts & Sciences III Collection-2012 renewal,2012-08-01,2015-07-31,,,,,,
,,41268,Cardiff University,,,,,JSTOR - Arts & Sciences IV Collection-2012 renewal,2013-02-01,2015-07-31,,,,,,
,,42805,Cardiff University,,,,,JSTOR - Arts & Sciences VII Collection-2012-15 renewal ,2013-08-01,2015-07-31,,,,,,
,,46096,Cardiff University,,,,,Knowledge Unlatched Open Access eBooks 2013 Pilot Collection,2014-03-01,2114-12-31,,,,,,
,,40766,Cardiff University,,,,,Literature Online  2012 - 2015,2013-01-01,2015-12-31,,,,,,
,,32447,Cardiff University,,,,,Marine Digimap,2010-09-24,2016-07-31,,,,,,
,,44700,Cardiff University,,,,,Nature Publishing Group NESLi2 Journals Agreement 2014,2014-01-01,2014-12-31,,,,,,
,,45628,Cardiff University,,,,,OUP Journals WHEEL 2014-2016 offer,2014-01-01,2016-12-31,,,,,,
,,44061,Cardiff University,,,,,Oxford Dictionary of National Biography 2013-2014,2013-09-12,2014-08-31,,,,,,
,,44062,Cardiff University,,,,,Oxford English Dictionary Online 2013-2014,2013-09-12,2014-08-31,,,,,,
,,35736,Cardiff University,,,,,Oxford Journals Archive and Archive Upgrade (2011-2014 for access via OUP's platform),2011-09-02,2014-07-31,,,,,,
,,44063,Cardiff University,,,,,Oxford Reference Online Premium Collection plus 2 Subject Collections (Literature and Western Civilization): for existing customers only 2013-2014,2013-09-12,2014-08-31,,,,,,
,,44064,Cardiff University,,,,,Oxford Scholarship Online 2013-2014,2013-09-12,2014-08-31,,,,,,
,,44794,Cardiff University,,,,,Project MUSE 2014 NESLi2 Agreement,2014-01-01,2014-12-31,,,,,,
,,44513,Cardiff University,,,,,Rock's Backpages 2013-2016 annual commitment,2013-11-01,2016-10-31,,,,,,
,,45614,Cardiff University,,,,,RSC Journals Archive 1841-2007 for NESLi2 subscribers,2014-01-01,2018-12-31,,,,,,
,,41707,Cardiff University,,,,,RSC Journals Archive 2005-2007 for NESLi2 and/or 1841-2004 Archive Subscribers,2013-03-26,2018-12-31,,,,,,
,,45563,Cardiff University,,,,,SAGE WHEEL 2014 Offer,2014-01-01,2014-12-31,,,,,,
,,34162,Cardiff University,,,,,SciVerse Scopus ,2011-05-17,2015-03-31,,,,,,
,,41992,Cardiff University,,,,,SpringerProtocols,2013-05-02,2017-12-31,,,,,,
,,42804,Cardiff University,,,,,"Taylor & Francis Geography, Planning, Urban and Environment Online Archive",2013-07-03,2016-06-30,,,,,,
,,45737,Cardiff University,,,,,The Burney Collection ,2014-01-10,2015-07-31,,,,,,
,,35119,Cardiff University,,,,,The Times Digital Archive (1785-1985) 2011-2014,2011-08-01,2014-07-31,,,,,,
,,37507,Cardiff University,,,,,UKPressOnline - 2012 to 2015 (Yearly option),2012-08-01,2015-07-31,,,,,,
,,44347,Cardiff University,,,,,Web of Science 2013-2016 (3 Year Commitment),2013-10-01,2016-09-30,,,,,,
,,30043,Cardiff University,,,,,Web of Science Backfiles,2007-08-31,2110-08-30,,,,,,
,,46262,Northumbria University,,,,,PYMCA for Education,2014-02-24,2014-11-30,,,,,,
,,35093,Northumbria University,,,,,a-n The Artist Information Company 2011-14 renewal,2011-08-01,2014-07-31,,,,,,
,,40724,Northumbria University,,,,,Bureau van Dijk Databases 2012-2015 Agreement ,2012-12-01,2015-11-30,,,,,,
,,33798,Northumbria University,,,,,Cambridge Journals Digital Archive,2011-02-28,2015-06-30,,,,,,
,,45579,Northumbria University,,,,,CUP Journals NESLi2 2014 (Cambridge University Press) offer,2014-01-01,2014-12-31,,,,,,
,,36558,Northumbria University,,,,,Digimap Ordnance Survey Collection®  2011-2016,2011-11-17,2016-07-31,,,,,,
,,45293,Northumbria University,,,,,Early English Books Online - Text Creation Partnership 2014-2016,2014-01-01,2016-12-31,,,,,,
,,43523,Northumbria University,,,,,"Education Literature Datasets (formerly British Education Index, Australian Education Index and ERIC) 2013-2014",2013-08-08,2014-07-31,,,,,,
,,36335,Northumbria University,,,,,Elsevier NESLi2 2012-2016 offer,2012-01-01,2016-12-31,,,,,,
,,46133,Northumbria University,,,,,"Encyclopaedia Britannica - 4 Month Free Trial (3rd Feb to 31st May 2014) - Image Quest, Britannica Online Academic Edition, eBook Collection",2014-02-03,2014-05-31,,,,,,
,,45043,Northumbria University,,,,,Environment Digimap (2013-2014),2013-11-14,2014-07-31,,,,,,
,,43624,Northumbria University,,,,,Grove Art Online only 2013-2014,2013-09-01,2014-08-31,,,,,,
,,43463,Northumbria University,,,,,Historic Digimap 2013-2016 agreement,2013-08-05,2016-07-31,,,,,,
,,34557,Northumbria University,,,,,Info4education - Portal (All Products) Annual Commitment,2011-06-01,2014-05-31,,,,,,
,,39270,Northumbria University,,,,,Internet Archaeology and Internet Archaeology Archive 1996-2006 ,2012-08-21,2014-12-31,,,,,,
,,44940,Northumbria University,,,,,IOP Journal Archive 1874-1998,2013-11-04,2014-12-31,,,,,,
,,36992,Northumbria University,,,,,JISC eCollections for EEBO and ECCO subscribers,2012-01-03,2014-07-31,,,,,,
,,44415,Northumbria University,,,,,Journal Citation Reports 2013-2016 (3 Year Commitment),2013-10-02,2016-09-30,,,,,,
,,42232,Northumbria University,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement,2013-05-29,2018-02-06,,,,,,
,,44411,Northumbria University,,,,,JSTOR - Arts & Sciences II Collection-2012-15 renewal,2013-10-02,2015-07-31,,,,,,
,,37928,Northumbria University,,,,,JSTOR - Arts & Sciences III Collection-2012 renewal,2012-08-01,2015-07-31,,,,,,
,,43558,Northumbria University,,,,,JSTOR - Arts & Sciences V Collection 2012-15 renewal,2013-08-09,2015-07-31,,,,,,
,,46146,Northumbria University,,,,,Knowledge Unlatched Open Access eBooks 2013 Pilot Collection,2014-03-01,2114-12-31,,,,,,
,,41661,Northumbria University,,,,,Literature Online  2013 - 2015,2013-03-15,2015-12-31,,,,,,
,,37563,Northumbria University,,,,,Oxford Journals Archive and Archive Upgrade (2011-2014 for access via OUP's platform),2012-07-09,2014-07-31,,,,,,
,,43623,Northumbria University,,,,,Oxford Reference Online Premium Collection plus 1 Subject Collection (Western Civilization) for existing customers only 2013-2014,2013-09-01,2014-08-31,,,,,,
,,43636,Northumbria University,,,,,Oxford Scholarship Online 2013-2014,2013-09-01,2014-08-31,,,,,,
,,44444,Northumbria University,,,,,Public Information Online 2013-2016,2013-11-01,2016-10-31,,,,,,
,,36920,Northumbria University,,,,,Reaxys 2011-2014,2011-12-19,2014-10-31,,,,,,
,,45654,Northumbria University,,,,,RSC Journals Archive 1841-2007 for NESLi2 subscribers,2014-01-06,2018-12-31,,,,,,
,,43282,Northumbria University,,,,,RSC Journals Archive 2005-2007 for NESLi2 and/or 1841-2004 Archive Subscribers,2013-07-25,2018-12-31,,,,,,
,,45939,Northumbria University,,,,,SCOAP3 Project,2014-01-01,2016-12-31,,,,,,
,,42233,Northumbria University,,,,,Springer NESLi2 2013-2015 Option 1 offer: Closed Consortium Option,2013-05-29,2015-12-31,,,,,,
,,41376,Northumbria University,,,,,Taylor & Francis Online eBook Library 2013-15: 50 titles option,2013-02-15,2015-09-30,,,,,,
,,45489,Northumbria University,,,,,The Burney Collection ,2014-01-01,2015-07-31,,,,,,
,,37930,Northumbria University,,,,,The Times Digital Archive (1785-2006 and rolling) 2011-2014,2012-07-24,2014-07-31,,,,,,
,,44410,Northumbria University,,,,,Web of Science 2013-2016 (3 Year Commitment),2013-10-02,2016-09-30,,,,,,
,,30075,Northumbria University,,,,,Web of Science Backfiles,2007-08-31,2110-08-30,,,,,,
,,40458,Sheffield Hallam University,,,,,"18th and 19th and 20th Century House of Commons Parliamentary Papers 2012-2014, including British Periodicals Collections I and II and Periodicals Archive Online: JISC Collections Selection from 2013-2014",2012-11-01,2014-10-31,,,,,,
,,46397,Sheffield Hallam University,,,,,"Encyclopaedia Britannica - 4 Month Free Trial (3rd Feb to 31st May 2014) - Image Quest, Britannica Online Academic Edition, eBook Collection",2014-03-21,2014-05-31,,,,,,
,,46374,Sheffield Hallam University,,,,,Brill Journal Archive Online 2013 - 2018,2014-03-18,2018-12-31,,,,,,
,,46375,Sheffield Hallam University,,,,,Institution of Civil Engineers Virtual Library Archive (1836-2001),2014-03-18,2018-12-31,,,,,,
,,46372,Sheffield Hallam University,,,,,Oxford Handbooks Online 2013-2014,2014-03-18,2014-08-31,,,,,,
,,42924,Sheffield Hallam University,,,,,19th Century British Library Newspapers ,2013-08-01,2014-03-24,,,,,,
,,36987,Sheffield Hallam University,,,,,19th Century British Pamphlets,2012-01-03,2019-07-31,,,,,,
,,43262,Sheffield Hallam University,,,,,American Chemical Society Legacy Archives ,2013-08-01,2113-07-31,,,,,,
,,40020,Sheffield Hallam University,,,,,American Chemical Society NESLi2 2013-15 agreement,2013-01-01,2015-12-31,,,,,,
,,40344,Sheffield Hallam University,,,,,a-n The Artist Information Company 2011-14 renewal,2012-10-22,2014-07-31,,,,,,
,,37054,Sheffield Hallam University,,,,,BIOSIS Previews Backfile 1969-2008,2012-01-11,2112-09-30,,,,,,
,,43261,Sheffield Hallam University,,,,,Britannica Online Academic Edition - 2013 to 2015,2013-08-01,2015-07-31,,,,,,
,,34659,Sheffield Hallam University,,,,,British Standards Online,2011-06-07,2014-05-31,,,,,,
,,40456,Sheffield Hallam University,,,,,Bureau van Dijk Databases 2012-2015 Agreement ,2012-12-01,2015-11-30,,,,,,
,,32228,Sheffield Hallam University,,,,,Cambridge Journals Digital Archive,2010-09-02,2015-06-30,,,,,,
,,35958,Sheffield Hallam University,,,,,Carl Giles Digital Archive,2011-09-26,2100-09-01,,,,,,
,,35349,Sheffield Hallam University,,,,,Digimap Ordnance Survey Collection®  2011-2016,2011-08-01,2016-07-31,,,,,,
,,36988,Sheffield Hallam University,,,,,Digital Library of Core E-Resources on Ireland,2012-01-03,2034-03-31,,,,,,
,,43260,Sheffield Hallam University,,,,,"Education Literature Datasets (formerly British Education Index, Australian Education Index and ERIC) 2013-2014",2013-08-01,2014-07-31,,,,,,
,,36081,Sheffield Hallam University,,,,,Elsevier NESLi2 2012-2016 offer,2012-01-01,2016-12-31,,,,,,
,,44877,Sheffield Hallam University,,,,,Environment Digimap (2013-2014),2013-10-30,2014-07-31,,,,,,
,,36989,Sheffield Hallam University,,,,,Foreign Broadcast Information Service Daily Reports: JISC Collections Selection,2012-01-03,2014-08-31,,,,,,
,,32501,Sheffield Hallam University,,,,,Geology Digimap: 2010-2016 Agreement,2010-09-30,2016-07-31,,,,,,
,,43997,Sheffield Hallam University,,,,,Grove Art Online only 2013-2014,2013-09-10,2014-08-31,,,,,,
,,43012,Sheffield Hallam University,,,,,Historic Digimap 2013-2016 agreement,2013-08-01,2016-07-31,,,,,,
,,40823,Sheffield Hallam University,,,,,IMechE NESLi2 SMP 2013 -2014 offer,2013-01-01,2014-12-31,,,,,,
,,34658,Sheffield Hallam University,,,,,Info4education - Portal (All Products) 3 Year Commitment,2011-06-07,2014-05-31,,,,,,
,,36990,Sheffield Hallam University,,,,,IOP Journal Archive 1874-1998,2012-01-03,2014-12-31,,,,,,
,,46100,Sheffield Hallam University,,,,,IOP Publishing NESLi2 2014 agreement - Option 1,2014-01-29,2014-12-31,,,,,,
,,35246,Sheffield Hallam University,,,,,JISC eCollections,2011-08-01,2014-07-31,,,,,,
,,44187,Sheffield Hallam University,,,,,Journal Citation Reports 2013-2016 (3 Year Commitment),2013-10-01,2016-09-30,,,,,,
,,41421,Sheffield Hallam University,,,,,Journals Usage Statistics Portal (JUSP) - Institutional Participation Agreement,2013-02-25,2018-02-06,,,,,,
,,39166,Sheffield Hallam University,,,,,JSTOR - Arts & Sciences I Collection 2012 renewal,2012-08-13,2015-07-31,,,,,,
,,39167,Sheffield Hallam University,,,,,JSTOR - Arts & Sciences II Collection-2012 renewal,2012-08-13,2015-07-31,,,,,,
,,39168,Sheffield Hallam University,,,,,JSTOR - Arts & Sciences III Collection-2012 renewal,2012-08-13,2015-07-31,,,,,,
,,39169,Sheffield Hallam University,,,,,JSTOR - Arts & Sciences IV Collection-2012 renewal,2012-08-13,2015-07-31,,,,,,
,,39170,Sheffield Hallam University,,,,,JSTOR - Arts & Sciences VII Collection-2012 renewal ,2012-08-13,2015-07-31,,,,,,
,,40826,Sheffield Hallam University,,,,,Literature Online  2012 - 2015,2013-01-01,2015-12-31,,,,,,
,,37183,Sheffield Hallam University,,,,,Morgan & Claypool's Synthesis Digital Library of Engineering & Computer Science  Perpetual Purchase,2012-02-08,2100-12-14,,,,,,
,,44963,Sheffield Hallam University,,,,,Nature Publishing Group NESLi2 Journals Agreement 2014,2014-01-01,2014-12-31,,,,,,
,,43998,Sheffield Hallam University,,,,,Oxford Dictionary of National Biography 2013-2014,2013-09-10,2014-08-31,,,,,,
,,43999,Sheffield Hallam University,,,,,Oxford English Dictionary Online 2013-2014,2013-09-10,2014-08-31,,,,,,
